,name,online_order,book_table,rate,votes,location,rest_type,cuisines,type,city,review_sentimen
35,Behrouz Biryani,1,0,3.9,230,1,1,1,2,1,3.0
36,Fast And Fresh,1,0,2.8,91,1,1,3,2,1,1.0
37,Szechuan Dragon,1,0,4.2,1647,1,1,3,2,1,3.0
38,Empire Restaurant,1,0,4.4,4884,32,1,4,2,1,3.0
39,Maruthi Davangere Benne Dosa,1,0,4.0,17,1,1,1,2,1,3.0
40,Chaatimes,1,0,3.8,133,4,1,2,2,1,3.0
41,Havyaka Mess,0,0,3.9,28,1,1,1,2,1,3.0
42,McDonald's,1,0,3.9,286,1,1,2,2,1,4.0
43,Domino's Pizza,1,0,3.9,540,1,1,2,2,1,3.0
44,Onesta,1,1,4.6,2556,1,2,3,2,1,3.0
45,Hotboxit,0,0,3.8,36,1,1,3,2,1,3.0
46,Kitchen Garden,1,0,3.6,244,49,1,2,2,1,3.0
47,Recipe,1,0,4.0,804,49,1,4,2,1,3.0
48,Beijing Bites,1,0,3.7,679,68,1,2,2,1,3.0
49,Tasty Bytes,1,0,3.1,245,49,1,4,2,1,3.0
50,Petoo,0,0,3.7,21,1,1,1,2,1,1.0
51,Shree Cool Point,1,0,4.1,28,87,1,3,2,1,4.0
52,Corner House Ice Cream,0,0,4.3,345,1,1,2,2,1,3.0
53,Biryanis And More,1,0,4.0,618,32,1,5,2,1,3.0
54,Roving Feast,0,0,4.0,1047,1,1,5,2,1,3.0
55,FreshMenu,1,0,3.9,627,1,1,8,2,1,1.0
56,Banashankari Donne Biriyani,1,0,3.8,104,1,1,2,2,1,3.0
57,Wamama,1,1,4.2,354,1,1,7,2,1,3.0
58,Five Star Chicken,0,0,3.6,55,1,1,2,2,1,3.0
59,XO Belgian Waffle,1,0,3.7,17,1,1,2,2,1,3.0
60,Peppy Peppers,0,0,4.2,244,1,1,3,2,1,3.0
61,Goa 0 Km,1,1,3.6,163,49,1,5,2,1,3.0
62,Chinese Kitchen,1,0,3.8,58,4,1,1,2,1,3.0
63,1947,0,1,4.0,808,1,1,2,2,1,3.0
64,Cake of the Day,0,0,3.7,78,1,2,1,2,1,3.0
65,Kabab Magic,1,0,4.1,1720,4,1,4,2,1,3.0
66,Namma Brahmin's Idli,1,0,3.6,34,32,1,1,2,1,3.0
67,Gustoes Beer House,0,0,4.1,868,1,1,6,2,1,3.0
68,Sugar Rush,0,0,3.8,39,1,1,2,2,1,4.0
69,Burger King,1,0,3.2,71,4,1,3,2,1,3.0
70,The Good Bowl,1,0,3.6,6,1,2,3,2,1,3.0
71,The Biryani Cafe,0,0,4.1,520,1,1,3,2,1,3.0
72,Spicy Tandoor,0,0,3.700448817952718,0,1,1,1,2,1,3.0
73,LSD Cafe,0,0,2.9,84,1,1,4,2,1,3.0
74,Rolls On Wheels,0,0,3.6,299,1,1,3,2,1,3.0
75,Om Sri Vinayaka Chats,0,0,3.700448817952718,0,1,2,2,2,1,0.0
76,Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,4,1,1,2,1,3.0
77,Devanna Dum Biriyani Centre,1,0,3.6,28,1,1,2,2,1,1.0
78,Kolbeh,0,0,3.7,22,1,1,1,2,1,3.0
79,Upahar Sagar,0,0,3.8,39,1,1,3,2,1,3.0
80,Kadalu Sea Food Restaurant,1,0,3.8,153,87,1,6,2,1,3.0
81,Frozen Bottle,1,0,4.2,146,1,1,3,2,1,3.0
82,Parimala Sweets,0,0,3.5,14,1,1,2,2,1,3.0
83,Vaishali Deluxe,0,0,3.8,42,1,1,2,2,1,3.0
84,Chill Out,0,0,3.700448817952718,0,1,1,2,2,1,3.0
85,The Big O Bakes,0,0,4.0,66,1,1,2,2,1,3.0
86,Meghana Foods,1,0,4.4,4401,32,1,3,2,1,3.0
87,Krishna Sagar,0,0,3.5,31,1,1,1,2,1,3.0
88,Dessert Rose,0,0,3.5,7,1,1,1,2,1,4.0
89,Chickpet Donne Biryani House,0,0,3.7,21,1,1,1,2,1,3.0
90,Me And My Cake,0,0,3.700448817952718,0,1,1,2,2,1,3.0
91,Sunsadm,0,0,3.700448817952718,0,1,2,1,2,1,0.0
92,Annapooraneshwari Mess,0,0,3.700448817952718,0,1,1,1,2,1,0.0
93,Thanco's Natural Ice Creams,0,0,3.2,9,1,1,1,2,1,3.0
94,Nandhini Deluxe,0,0,2.6,283,1,1,1,2,1,3.0
95,Vi Ra's Bar and Restaurant,0,0,3.3,62,1,1,3,2,1,0.0
96,Kaggis,0,0,3.8,64,1,1,2,2,1,4.0
97,Ayda Persian Kitchen,0,0,3.7,39,1,1,2,2,1,3.0
98,Chatar Patar,0,0,3.7,65,1,1,2,2,1,3.0
99,Polar Bear,1,0,3.8,71,4,1,4,2,1,3.0
100,Kidambi's Kitchen,0,0,3.5,52,1,1,1,2,1,3.0
101,Mane Thindi,0,0,3.7,130,1,1,1,2,1,3.0
102,Kotian Karavali Restaurant,0,0,3.5,10,1,1,2,2,1,3.0
103,Floured-Baked With Love,0,0,3.8,45,1,2,1,2,1,3.0
104,CAFE NOVA,0,0,3.2,11,1,1,2,2,1,3.0
105,Cakes & Slices,0,0,3.5,13,1,1,2,2,1,3.0
106,Spice 9,0,0,3.4,8,1,1,4,2,1,3.0
107,Coffee Shopee,0,0,3.700448817952718,0,1,2,1,2,1,0.0
108,Naveen Kabab & Biriyani Mane,0,0,3.2,9,1,1,1,2,1,0.0
109,Katriguppe Donne Biryani,0,0,3.2,4,1,1,1,2,1,0.0
110,Hari Super Sandwich,0,0,3.700448817952718,0,1,2,3,2,1,1.0
111,Atithi Point Ande Ka Funda,0,0,3.1,29,1,1,1,2,1,3.0
112,Just Bake,0,0,3.4,8,1,1,2,2,1,0.0
113,Dharwad Line Bazaar Mishra Pedha,0,0,3.700448817952718,0,1,1,1,2,1,0.0
114,Cake Bite,0,0,3.700448817952718,0,1,1,1,2,1,1.0
115,Aarush's Food Plaza,0,0,3.700448817952718,0,1,1,2,2,1,0.0
116,Wood Stove,0,0,3.700448817952718,0,1,2,1,2,1,3.0
117,Kulfi & More,0,0,3.700448817952718,0,1,1,3,2,1,0.0
118,Kannadigas Karavali,0,0,3.700448817952718,0,1,1,3,2,1,0.0
119,K27 - The Pub,0,0,3.1,30,1,1,2,2,1,3.0
120,Bengaluru Coffee House,1,0,4.1,201,1,1,4,2,1,3.0
121,New Mangalore Lunch Home,0,0,3.3,7,1,1,3,2,1,0.0
122,Coffee Bytes,0,0,3.1,6,1,1,2,2,1,3.0
123,Parjanya Chat Zone,0,0,3.3,17,1,1,2,2,1,3.0
124,Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,1,1,2,2,1,3.0
125,Soms Kitchen & Bakes,0,0,3.700448817952718,0,1,1,3,2,1,0.0
126,Banashankari Nati Style,0,0,3.700448817952718,0,1,1,4,2,1,0.0
127,Ruchi Maayaka,0,0,3.3,8,1,1,1,2,1,4.0
128,Mohitesh Hut Roll,0,0,3.700448817952718,0,1,1,2,2,1,0.0
129,Sri Basaveshwar Jolada Rotti Oota,0,0,3.700448817952718,0,1,1,1,2,1,0.0
130,Roll Magic Fast Food,0,0,3.700448817952718,0,1,2,3,2,1,0.0
131,Foodlieious Multi Cuisine,0,0,3.700448817952718,0,1,1,1,2,1,0.0
132,Thanishka Nati And Karavali Style,0,0,3.700448817952718,0,1,1,2,2,1,0.0
133,Swathi Cool Point,0,0,3.700448817952718,0,1,1,2,2,1,0.0
134,Kaumudis Juoice,0,0,3.700448817952718,0,1,2,3,2,1,4.0
135,Amma - Manae,0,0,3.700448817952718,0,1,2,1,2,1,0.0
136,Sri Sai Tiffannies,0,0,3.700448817952718,0,1,1,2,2,1,0.0
137,Hotel Andhra Speices,0,0,3.700448817952718,0,1,1,1,2,1,0.0
138,Sri Murari Family Restaurant,0,0,3.700448817952718,0,1,1,1,2,1,1.0
139,Aramane Donne Biriyani,0,0,3.700448817952718,0,1,1,2,2,1,0.0
140,Darkolates,0,0,3.700448817952718,0,1,1,1,2,1,0.0
141,Swaada Healthy Kitchen,0,0,3.700448817952718,0,1,2,3,2,1,0.0
142,Gawdaru Mane Beriyani,0,0,3.700448817952718,0,1,1,2,2,1,0.0
143,Melting Melodies,0,0,3.700448817952718,0,1,2,2,2,1,0.0
144,New Indraprasta,0,0,3.700448817952718,0,1,1,2,2,1,0.0
145,Anna Kuteera,1,0,4.0,771,1,1,3,2,1,3.0
146,Darbar,0,0,3.0,98,1,1,2,2,1,4.0
147,Vijayalakshmi,1,0,3.9,47,4,1,1,2,1,3.0
148,Sri Udupi Food Hub,1,1,4.1,175,32,1,4,2,1,3.0
149,Udupi Upahar,1,0,3.8,58,1,1,4,2,1,3.0
150,House Of Kebabs,1,0,3.8,540,4,1,4,2,1,1.0
151,Roll N Rock,1,0,3.8,124,49,1,4,2,1,3.0
152,BOX8- Desi Meals,1,0,4.1,340,1,2,3,2,1,3.0
153,KFC,1,0,3.8,505,1,1,2,2,1,1.0
154,Bitez,0,0,3.700448817952718,0,1,1,1,2,1,1.0
155,Roll Over,1,0,4.1,438,32,1,5,2,1,3.0
156,Imperial Restaurant,1,0,3.7,264,57,1,4,2,1,1.0
157,Lassi Shop,1,0,3.9,169,49,1,3,2,1,3.0
158,The Fortuna,1,0,3.0,67,49,1,2,2,1,3.0
159,Wahab,1,0,3.7,97,32,1,3,2,1,4.0
160,Al Diwan Biryanis And More,1,0,3.3,12,4,2,1,2,1,3.0
161,New Gowda's Fried Chicken,1,0,3.3,12,1,1,1,2,1,1.0
162,Canton,1,0,3.6,195,32,1,3,2,1,4.0
163,Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,4,2,2,2,1,1.0
164,The Blue Wagon - Kitchen,1,0,4.6,228,32,1,2,2,1,3.0
165,HOT COFFEE,1,0,4.1,70,4,1,2,2,1,4.0
166,Patio 805,1,1,4.1,364,32,1,4,2,1,3.0
167,Lassi Corner,1,0,3.7,107,4,1,2,2,1,3.0
168,Sagar Deluxe,1,0,3.2,167,49,1,4,2,1,3.0
169,Kanti Sweets,1,0,4.0,115,1,1,2,2,1,4.0
170,Vegetalia,1,0,3.7,27,1,2,2,2,1,3.0
171,Aramane Donne Biryani,1,0,3.5,57,1,1,1,2,1,1.0
172,Ande Ka Funda,1,0,3.8,120,1,1,3,2,1,4.0
173,Cake Ghar,1,0,3.8,15,4,1,1,2,1,4.0
174,Energy Addaa,1,0,4.2,64,4,1,7,2,1,3.0
175,Bhattara Bhojana,1,0,3.6,66,1,1,1,2,1,3.0
176,Tandoori Knight,1,0,3.0,290,1,1,4,2,1,1.0
177,Dev Sagar - Food Street,1,0,4.1,233,4,1,1,2,1,4.0
178,Mitraa Da Pizza,1,0,3.8,115,49,1,2,2,1,4.0
179,Paradise Premium,1,0,3.1,119,1,1,4,2,1,1.0
180,Grazers,1,1,3.9,291,32,1,5,2,1,3.0
181,Shakes Theory,1,0,4.5,155,32,1,2,2,1,3.0
182,@Italy,1,0,4.1,305,49,1,1,2,1,3.0
183,Chilli Flakes,1,0,3.6,46,1,1,3,2,1,3.0
184,Calcutta Cafe,1,0,3.5,45,49,1,3,2,1,1.0
185,Old Mumbai Ice Cream,1,0,3.9,38,1,1,1,2,1,3.0
186,Donne Biriyani House,1,0,3.9,441,1,1,4,2,1,1.0
187,By 2 Coffee,1,0,3.9,25,4,1,1,2,1,3.0
188,Kedia's Fun Food,1,0,4.3,630,32,1,3,2,1,3.0
189,Davangere Butter Dosa Hotel,1,0,3.8,25,49,1,1,2,1,3.0
190,Just Shawarma,1,0,3.9,160,49,1,1,2,1,3.0
191,Mini Punjabi Dhaba,1,0,4.2,287,1,1,1,2,1,3.0
192,Mulabagilu Dosa,1,0,3.6,11,4,1,1,2,1,3.0
193,CafÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,1,1,1,2,1,3.0
194,Gokul Veg,1,0,3.8,469,4,1,3,2,1,4.0
195,Olive - Era,1,0,3.3,511,49,1,8,2,1,0.0
196,Udupi Ruchi,1,0,3.9,57,1,1,4,2,1,1.0
197,Madhappa Hindu Military Hotel,1,0,3.4,14,1,1,1,2,1,3.0
198,Gama Gama,1,0,3.9,264,1,1,1,2,1,3.0
199,The Vintage Cafe,1,0,3.0,62,1,1,3,2,1,3.0
200,Pizza Hut,1,0,3.8,693,1,1,2,2,1,3.0
201,Mangalore Pearl,1,0,3.8,242,32,1,4,2,1,3.0
202,Asha Sweets Centre,1,0,3.6,27,4,1,1,2,1,3.0
203,Twiststick House,1,0,4.1,163,4,1,4,2,1,3.0
204,Cool Corner,1,0,4.2,191,4,1,2,2,1,3.0
205,Pizza Mane,1,0,3.5,32,1,1,4,2,1,3.0
206,Dal Tadkaa,1,0,2.5,247,1,1,1,2,1,3.0
207,Chutney Chang,1,1,4.1,2339,32,1,3,2,1,3.0
208,Mystique Palate,1,0,4.1,337,32,1,2,2,1,3.0
209,Thamboola,1,0,3.9,135,1,1,3,2,1,3.0
210,Castle Rock,1,0,3.6,172,84,1,2,2,1,3.0
211,Vietnamese Kitchen,1,0,3.6,105,1,1,1,2,1,3.0
212,Smacznego,1,0,4.2,504,1,1,5,2,1,3.0
213,C Corner,1,0,3.2,36,49,1,2,2,1,1.0
214,Paratha Merchant,1,0,3.1,39,49,1,1,2,1,3.0
215,North Rasoe,1,0,3.1,5,49,1,4,2,1,3.0
216,Inchara Restaurant,1,0,3.700448817952718,0,4,1,2,2,1,3.0
217,Toscano,1,1,4.3,1129,32,1,2,2,1,3.0
218,Lord Of The Kitchen,1,0,3.9,56,49,1,2,2,1,4.0
219,Stoned Monkey,1,0,4.3,860,1,1,2,2,1,3.0
220,Central Jail Restaurant,1,0,3.8,412,32,1,4,2,1,3.0
221,Bella,1,1,3.9,142,32,1,3,2,1,1.0
222,Vennela Andhra Meals,1,0,3.0,23,32,1,1,2,1,3.0
223,New Prashanth Hotel,1,0,3.6,143,32,1,4,2,1,3.0
224,The Grillo,1,1,2.8,80,32,1,6,2,1,1.0
225,Re Malnad Nati Style Hotel,1,0,3.6,16,29,1,1,2,1,4.0
226,Karma Kaapi,1,0,4.4,181,32,1,2,2,1,3.0
227,Tiwari's,1,0,3.8,70,32,1,2,2,1,3.0
228,Pizza Stop,1,0,3.8,164,4,1,2,2,1,4.0
229,Biggies Burger 'n' More,1,0,3.6,58,49,1,3,2,1,3.0
230,Srinathji's Cafe,0,0,3.8,148,4,2,4,2,1,3.0
231,Kollapuri's,0,0,3.9,206,4,1,2,2,1,3.0
232,Sugar Stars Co,0,0,3.700448817952718,0,4,1,2,2,1,3.0
233,Bombay Kulfis,0,0,3.700448817952718,0,29,1,1,2,1,0.0
234,Kadamba Classic,0,0,3.6,16,57,1,1,2,1,3.0
235,RS Shiv Sagar,0,0,3.7,217,4,1,5,2,1,3.0
236,Kholi Mane,0,0,3.6,46,4,1,4,2,1,3.0
237,Harshi Super Sandwich,0,0,3.8,148,4,1,2,2,1,3.0
238,Cake Yard,0,0,3.4,30,4,1,1,2,1,3.0
239,Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,57,1,4,2,1,3.0
240,Sri Udupi Veg,0,0,3.3,4,32,1,1,2,1,0.0
241,Cake Art,0,0,3.5,15,4,2,1,2,1,3.0
242,Aahar Cafe,0,0,3.700448817952718,0,4,1,1,2,1,3.0
243,Akash Gowdru Biryani Center,0,0,3.700448817952718,0,84,1,2,2,1,0.0
244,New Sri Udupi Restaurant,0,0,3.700448817952718,0,32,1,5,2,1,0.0
245,Potato House,1,0,3.4,9,84,1,1,2,1,3.0
246,Hotel Biriyani Counter,0,0,3.700448817952718,0,87,1,3,2,1,3.0
247,Matru Sagar,1,0,3.7,31,57,1,2,2,1,3.0
248,Ugadi,1,0,2.9,177,32,1,5,2,1,3.0
249,Sri Krishna Sweets,1,0,3.7,22,4,1,2,2,1,3.0
250,In Time Cane Juice,1,0,3.5,10,49,1,2,2,1,3.0
251,Subway,1,0,3.7,136,1,1,2,2,1,3.0
252,Daal Roti,1,0,2.9,35,49,1,2,2,1,3.0
253,The Lassi Park,1,0,4.1,185,32,1,2,2,1,3.0
254,Cafe Coffee Day,1,0,3.2,17,32,1,2,2,1,3.0
255,A2B - Adyar Ananda Bhavan,1,0,3.8,155,57,1,4,2,1,3.0
256,Srikrishna Bhavan,1,0,3.8,42,1,1,3,2,1,4.0
257,Timepass Dinner,1,0,3.8,286,4,1,1,2,1,3.0
258,Green Gardenia,1,0,3.8,160,1,1,2,2,1,3.0
259,J Spice,1,0,3.8,59,1,1,2,2,1,3.0
260,Karavali Family Restaurant,1,0,3.5,90,32,1,5,2,1,3.0
261,Karavali Lunch Home,1,0,3.7,51,49,1,2,2,1,3.0
262,Hatti Kaapi,1,0,4.0,89,32,1,2,2,1,3.0
263,Kolkata Kathi Roll's,1,0,3.6,18,1,1,2,2,1,3.0
264,Upahara Darshini,1,0,3.9,40,4,1,4,2,1,4.0
265,The Chaat Shop,1,0,2.5,35,4,1,1,2,1,0.0
266,Anda Ka Funda,1,0,3.4,89,32,1,3,2,1,1.0
267,Shri Vinayaka Ice N Juice,1,0,3.2,11,4,1,2,2,1,3.0
268,My Tea House,1,0,3.6,62,1,2,4,2,1,3.0
269,Ibaco,1,0,3.9,33,32,1,1,2,1,3.0
270,Jalaram Sweets,1,0,3.8,32,32,1,2,2,1,3.0
271,Samskruti - Sanman Gardenia,1,0,4.1,139,32,1,3,2,1,3.0
272,Bendakaluru Bytes,1,0,3.2,154,87,1,1,2,1,1.0
273,Cocoa Bakes,1,0,3.6,14,1,1,2,2,1,3.0
274,Chumma Delicious,1,0,3.7,237,1,1,2,2,1,3.0
275,New Prashanth Hotel,1,0,3.9,388,1,1,4,2,1,3.0
276,SSV Upahar,1,0,3.700448817952718,0,32,1,2,2,1,0.0
277,Dwaraka Grand,1,0,3.9,128,49,1,4,2,1,4.0
278,Gufha - The President Hotel,1,1,4.1,1875,32,1,3,2,1,3.0
279,Cafe Vivacity,1,0,3.8,90,1,1,1,2,1,3.0
280,Tanna's Kitchen,1,0,3.1,7,49,1,3,2,1,1.0
281,Shree Mandarathi Grand,1,0,3.7,38,84,1,2,2,1,3.0
282,Mojo Pizza - 2X Toppings,1,0,4.2,179,1,1,1,2,1,3.0
283,Iceberg Icecreams,1,0,4.0,43,4,1,2,2,1,3.0
284,South Kitchen,1,0,4.3,275,4,1,1,2,1,3.0
285,Chung Wah,1,0,3.7,323,32,1,3,2,1,3.0
286,Shanthi Sagar,1,0,3.1,28,84,1,3,2,1,1.0
287,Millet Mama,1,0,3.9,18,4,1,2,2,1,3.0
288,Bangarpet Chat Express,1,0,3.3,6,4,1,2,2,1,3.0
289,South Cool Point,1,0,3.700448817952718,0,4,1,1,2,1,0.0
290,Prems Graama Bhojanam,1,0,4.3,322,32,1,1,2,1,3.0
291,Java City,1,0,2.6,157,32,1,3,2,1,3.0
292,Kamat Bugle Rock,1,0,3.9,543,4,1,2,2,1,3.0
293,Woodee Pizza,1,0,3.7,180,1,1,4,2,1,3.0
294,Puliyogare Point,1,0,4.2,444,4,1,1,2,1,3.0
295,Bangalore Agarwal Bhavan,1,0,3.9,134,32,1,3,2,1,3.0
296,Rustic Stove,1,0,3.8,577,32,1,4,2,1,3.0
297,Udupi Ruchi Grand,1,0,4.2,60,1,1,4,2,1,3.0
298,De Thaali,1,0,3.9,144,32,1,3,2,1,3.0
299,Spice Elephant,1,0,4.1,787,1,1,3,2,1,3.0
300,Just Thindi,1,0,3.6,16,4,1,1,2,1,3.0
301,Matru Sagar,1,0,3.6,84,1,1,3,2,1,3.0
302,Vasanth Vihar - Since 1965,1,0,3.6,95,1,1,2,2,1,4.0
303,Sea Spice by 7 Star,1,1,4.0,349,1,1,6,2,1,3.0
304,Desi Dawat,1,0,3.7,248,49,1,2,2,1,3.0
305,Cafe Aira,1,0,4.1,216,4,1,4,2,1,3.0
306,Donne Biriyani combos,1,0,3.700448817952718,0,49,1,1,2,1,0.0
307,Penthouse Cafe,1,0,4.0,324,1,1,3,2,1,3.0
308,Mast Punjabi,1,0,2.6,231,49,1,5,2,1,1.0
309,South Grand,1,0,3.4,102,84,1,4,2,1,4.0
310,Catch-up-ino,1,0,3.9,133,1,1,5,2,1,3.0
311,The Pizzeria,1,0,2.8,45,1,1,3,2,1,3.0
312,Cafe Zone,1,0,3.9,149,49,1,3,2,1,3.0
313,Ruchis Point,1,0,3.8,75,1,1,2,2,1,3.0
314,Firangi Bake,1,0,4.0,53,68,1,2,2,1,3.0
315,The Royal Corner - Pai Viceroy,1,1,4.2,815,32,1,2,2,1,3.0
316,Hara Fine Dine,1,1,4.0,633,1,1,2,2,1,3.0
317,Chocoberry,1,0,3.5,56,32,1,3,2,1,1.0
318,Dakshin Grand,1,0,3.0,82,1,1,4,2,1,3.0
319,Sandwichwallas,1,0,3.7,35,32,1,1,2,1,3.0
320,Chai Mane,1,0,3.6,20,4,1,2,2,1,3.0
321,SLV Upachar,1,0,3.1,14,49,1,3,2,1,3.0
322,Waffle-A-Go Go,1,0,3.9,70,1,1,3,2,1,3.0
323,Cross Road Cafe,1,0,3.9,91,32,1,3,2,1,3.0
324,Anand Donne Biriyani,1,0,3.6,45,32,1,1,2,1,3.0
325,Seven Star,1,0,3.4,7,1,1,2,2,1,4.0
326,Stop 'N' Joy,1,0,3.8,28,1,1,1,2,1,3.0
327,Sri Yaksha Shiv Sagar,1,0,3.6,24,1,1,2,2,1,4.0
328,Fudge,1,0,3.8,36,4,1,2,2,1,3.0
329,Just Bunny,1,0,3.5,11,32,1,1,2,1,3.0
330,Bakers Town,1,0,3.8,77,49,1,3,2,1,3.0
331,Shree Mahalakshmi Sweets,1,0,3.2,8,1,1,2,2,1,4.0
332,Kaapi Kendra,1,0,3.7,14,32,1,1,2,1,3.0
333,Ivy,1,0,3.8,210,49,1,3,2,1,3.0
334,The Airos,1,0,4.1,130,32,1,3,2,1,3.0
335,Chai Kraft,1,0,4.1,30,32,1,2,2,1,3.0
336,Kirthi's Biryani,1,0,3.8,144,1,1,3,2,1,3.0
337,South Point Pub,1,0,3.4,11,4,1,3,2,1,3.0
338,The Trundle,1,0,3.7,133,32,1,4,2,1,3.0
339,The Krishna Grand Xpress,1,0,4.0,136,32,1,2,2,1,3.0
340,Sri Krishna Darshini,1,0,3.1,4,4,1,3,2,1,3.0
341,Shringar Sweets & Snacks,1,0,3.5,11,4,2,4,2,1,3.0
342,Udupi Grand,1,0,3.8,74,4,1,3,2,1,3.0
343,Ganesh Grand,1,0,3.7,30,4,1,3,2,1,3.0
344,Shreyas Upahar & Burger Point,1,0,3.0,7,4,1,2,2,1,4.0
345,Coffee Tindi,1,0,3.8,75,1,2,2,2,1,4.0
346,Little Cafe,1,0,3.7,54,4,1,2,2,1,3.0
347,Mumbai Badam Milk & Lassi Center,1,0,3.6,23,4,1,2,2,1,3.0
348,Sri Krishna Sagar,1,0,3.2,119,1,1,2,2,1,1.0
349,Mylari Biryani Family Restaurant,1,0,3.7,73,1,1,2,2,1,3.0
350,1980s Games Cafe,1,0,3.4,58,4,1,2,2,1,3.0
351,Kadala Tarangaa,1,0,3.6,129,1,1,3,2,1,3.0
352,Namma Biryani,1,0,3.6,24,1,1,3,2,1,3.0
353,Nandhanu's Rasoi,1,0,3.0,175,49,1,2,2,1,1.0
354,Hotel Pork Paradise,1,0,3.7,21,57,1,1,2,1,3.0
355,As On Fire,1,0,3.5,41,80,1,3,2,1,3.0
356,J K Fish Land,1,0,3.6,35,32,1,2,2,1,4.0
357,Curry Leaves,1,0,4.1,176,4,1,3,2,1,3.0
358,Lassi Shop,1,0,3.5,45,1,1,3,2,1,3.0
359,Magic Meals,1,0,3.7,47,32,2,3,2,1,4.0
360,Desi Cream Junction,1,1,3.7,36,32,1,4,2,1,3.0
361,Drunken Monkey,1,0,3.8,52,49,2,2,2,1,3.0
362,Ruchi's Corner,1,0,2.7,123,1,1,1,2,1,1.0
363,Tandoori Bytes,1,0,3.6,59,49,1,1,2,1,3.0
364,Bangalore Donne Biriyani,1,0,3.2,4,49,1,2,2,1,0.0
365,SGS Non Veg - Gundu Pulav,1,0,3.8,101,1,1,2,2,1,3.0
366,Keventers,1,0,3.7,54,1,2,3,2,1,3.0
367,Sree Sagar,1,0,3.700448817952718,0,1,1,1,2,1,3.0
368,Navi Food Point,1,0,3.6,22,4,1,1,2,1,3.0
369,Shawarma Inc,1,0,3.1,31,1,1,2,2,1,3.0
370,The Cafe Nuts and Bolts,1,0,3.0,29,49,1,3,2,1,3.0
371,AM WOW,1,0,3.4,6,32,1,1,2,1,3.0
372,Lalbagh Grand,1,0,3.0,22,4,1,3,2,1,3.0
373,Funjabi Curries,1,0,2.9,11,1,1,1,2,1,3.0
374,Eat Repeat,1,0,3.9,101,4,1,1,2,1,3.0
375,Salut,1,1,4.1,442,32,2,4,2,1,3.0
376,Nammura Donne Biriyani,1,0,3.5,155,4,1,2,2,1,1.0
377,Lassi Stop,1,0,3.4,12,1,2,3,2,1,1.0
378,Dakshin Kitchen,1,0,3.6,15,4,1,1,2,1,3.0
379,Sri Sai Cafe,1,0,3.5,10,4,1,1,2,1,3.0
380,Sri Sai 99 Variety Dosa,1,0,3.8,25,1,1,1,2,1,3.0
